confidence,validation
0.45705485,1
0.19851148,0
0.9574734,1
0.5154216,0
0.39888573,0
0.64790285,1
0.29391503,1
0.033102036,1
0.032065034,0
0.57754683,0
0.35875237,1
0.3554337,0
0.6510365,1
0.04737091,0
0.31887186,0
0.1677537,0
0.6392386,1
0.11435282,1
0.1991787,1
0.45089638,1
0.61352134,1
0.87515795,1
0.40460777,1
0.70916617,1
0.11375356,1
0.7412789,1
0.83578265,1
0.7232028,1
0.26463878,1
0.7559742,1
0.9090562,1
0.702685,1
0.8887068,0
0.50520754,1
0.28341103,1
0.5831045,1
0.30425406,1
0.5386367,1
0.5791657,1
0.050947666,1
0.467695,1
0.5347134,1
0.42383003,1
0.420586,1
0.41422164,1
0.35176098,1
0.24720144,0
0.058416843,1
0.43511653,0
0.9230783,1
0.81436086,1
0.0531857,0
0.13051403,1
0.5516834,1
0.09017503,1
0.4610045,1
0.6898171,1
0.16142213,0
0.4161681,1
0.12150121,0
0.3035673,0
0.79407716,1
0.9965136,1
0.13714528,1
0.9705006,1
0.14235556,1
0.7060467,1
0.57085097,0
0.19995129,1
0.47168338,1
0.0117765665,0
0.564713,1
0.17154276,0
0.08530104,1
0.47508037,1
0.73804426,1
0.15186286,0
0.51441145,1
0.60626054,1
0.030647874,0
0.37146175,1
0.5455015,1
0.4336301,1
0.19686317,1
0.7012254,1
0.90645397,1
0.12614155,0
0.72252333,1
0.7257973,1
0.7450899,1
0.6470437,1
0.35859227,1
0.8955866,1
0.64228404,1
0.44299293,1
0.010259628,0
0.899124,1
0.43742883,1
0.40103817,1
0.6176069,1
0.94249094,1
0.2339282,1
0.03669679,0
0.33840013,1
0.93724966,1
0.02919054,1
0.69351184,1
0.7257277,1
0.7206811,1
0.39053845,1
0.6246867,0
0.44031262,1
0.6355406,1
0.7401731,1
0.00941658,0
0.4514563,0
0.090091705,0
0.5676615,1
0.048030496,1
0.5349808,1
0.97869825,1
0.8740511,1
0.51231456,1
0.16663945,1
0.80029476,1
0.87802136,1
0.9372469,1
0.9870994,1
0.05418241,1
0.681757,1
0.15167773,1
0.19035423,1
0.24933934,1
0.6794249,1
0.15923035,0
0.9639925,1
0.58249736,1
0.8705605,1
0.13377786,1
0.3967682,1
0.2705958,1
0.2838111,1
0.07042551,1
0.7140255,1
0.77741146,1
0.012065887,0
0.6189456,1
0.89825106,1
0.38207412,1
0.2917806,0
0.037983656,1
0.057308555,0
0.65536714,1
0.6962496,1
0.57239294,1
0.69664264,1
0.61026084,1
0.81860185,1
0.18336546,1
0.24114418,1
0.04045248,0
0.8480488,1
0.0055115223,1
0.44717348,1
0.6402092,0
0.0014004707,1
0.78076947,1
0.13952649,0
0.9789648,1
0.49363172,1
0.7738255,1
0.08165753,0
0.26191306,0
0.4802562,1
0.99472153,1
0.83267856,0
0.4386145,1
0.20958793,0
0.48917353,1
0.11126423,0
0.41586733,1
0.38408184,1
0.33199036,1
0.44831336,1
0.32420456,0
0.27443838,1
0.41595495,1
0.28645337,1
0.54696405,1
0.7754346,1
0.0011565685,0
0.33272552,1
0.28353631,0
0.8488879,1
0.9767493,1
0.30565917,1
0.004462838,0
0.96665823,1
0.7228451,0
0.6901319,1
0.98040533,1
0.82590973,1
0.489684,1
0.97825754,1
0.91350305,1
0.61842275,1
0.96183527,1
0.1207,1
0.8916018,1
0.042990565,0
0.7925204,1
0.16862345,0
0.9577215,1
0.76852465,1
0.17052197,1
0.9269842,1
0.2244749,0
0.026706934,0
0.9967226,1
0.7567729,1
0.6095381,1
0.11149287,1
0.85420954,1
0.7498207,1
0.17040479,1
0.79716516,1
0.9152937,1
0.74345434,1
0.297961,0
0.94775,1
0.326131,1
0.6267184,0
0.32667387,1
0.17250395,0
0.89252126,1
0.28834057,1
0.78179777,1
0.73896706,1
0.48750472,0
0.26740205,1
0.016587853,0
0.20681942,1
0.6104878,1
0.46844578,1
0.97054017,1
0.7130774,1
0.6392567,1
0.42502916,1
0.9165863,1
0.051233053,0
0.65073574,0
0.72158086,1
0.1602968,1
0.8224336,1
0.63244987,0
0.24874532,1
0.4933462,1
0.32776737,0
0.51544166,1
0.91919017,0
0.6011938,1
0.0929147,1
0.9257958,1
0.94872296,1
0.30561018,0
0.73165846,1
0.6951487,1
0.6558542,0
0.5886501,0
0.9722575,1
0.66601884,1
0.86365306,0
0.2810856,1
0.4596728,1
0.6726526,1
0.6829103,1
0.041643143,1
0.98904836,1
0.8525028,1
0.010020614,1
0.65030277,1
0.6106274,1
0.63548183,1
0.77251935,1
0.15970445,1
0.1412164,1
0.37230706,1
0.84430325,1
0.98090124,1
0.045196414,0
0.43052268,1
0.2635597,1
0.73154175,1
0.13604999,1
0.29170978,0
0.61221373,1
0.4684131,1
0.44554734,1
0.099502325,1
0.19617164,0
0.46992588,1
0.31011653,0
0.8801087,1
0.49209332,1
0.21731782,0
0.76500833,1
0.02401948,0
0.043748736,1
0.08889425,1
0.85282123,1
0.75076413,1
0.20516586,1
0.9192749,1
0.58979106,1
0.3673421,1
0.040382266,1
0.34814644,1
0.6434827,1
0.40621543,0
0.8291106,1
0.63642263,1
0.119763136,0
0.14878738,0
0.13550639,1
0.47899854,0
0.87391007,1
0.6188221,1
0.30865884,0
0.2580347,0
0.060374975,1
0.57202494,1
0.7862526,1
0.69963217,1
0.027855873,0
0.42318082,1
0.26403248,0
0.4807186,1
0.94254076,1
0.5153582,1
0.7522987,1
0.67073643,1
0.97393274,1
0.43934774,1
0.04177499,0
0.6145482,1
0.110177636,0
0.27232492,1
0.14784694,1
0.7780614,1
0.5508939,1
0.71985126,1
0.75737655,1
0.94899166,1
0.670625,1
0.1880827,1
0.47925735,1
0.14908397,1
0.9118911,1
0.79387164,1
0.6576189,1
0.3177098,1
0.54964757,1
0.044023752,1
0.32648253,1
0.20372176,1
0.79771376,1
0.67172194,1
0.10579169,1
0.8943163,0
0.87194276,1
0.34748387,1
0.3640728,1
0.4897493,1
0.9163208,1
0.6420857,1
0.6626235,0
0.1566782,0
0.36627603,1
0.11779904,0
0.8281158,1
0.037151933,0
0.51348996,1
0.24761319,1
0.826095,1
0.38196528,1
0.4977746,1
0.2173568,0
0.36312675,1
0.024024844,1
0.9731735,1
0.3929417,1
0.6430943,1
0.67157876,1
0.9502226,0
0.29445922,1
0.27562582,1
0.8140081,1
0.53584504,1
0.83884275,1
0.19496858,1
0.054534435,0
0.74783146,1
0.9454967,1
0.32297313,0
0.07477248,1
0.69669354,1
0.9835682,1
0.4957224,1
0.042522788,0
0.53049695,1
0.5819001,0
0.58829284,1
0.91768014,1
0.37200844,1
0.5529406,1
0.56960225,1
0.27124,0
0.5671154,1
0.37336302,0
0.3668089,1
0.54322743,0
0.9065771,1
0.46924925,1
0.57704985,0
0.28316844,1
0.63512146,1
0.35769796,1
0.92266965,1
0.7124692,1
0.12987244,0
0.70293665,1
0.39003932,1
0.6152139,1
0.61879563,1
0.6384989,1
0.048437595,0
0.9749733,1
0.7624438,0
0.6231408,1
0.36182952,1
0.73147833,1
0.8761542,1
0.96208954,1
0.25987232,1
0.5112742,1
0.96009445,0
0.9102763,1
0.87754273,1
0.11760235,1
0.18521678,0
0.3139689,1
0.1752392,1
0.9973558,1
0.59145296,1
0.024824262,1
0.11407542,0
0.2347796,1
0.09130728,1
0.2422297,0
0.5883893,1
0.9191481,1
0.22459304,0
0.5842087,1
0.5434524,1
0.054189563,1
0.35693073,1
0.29870987,1
0.88057363,1
0.8930564,1
0.3305788,1
0.70631516,1
0.35167623,0
0.7452538,0
0.3755666,1
0.54675686,1
0.303208,0
0.0053645372,1
0.0236274,0
0.5572289,1
0.37124598,0
0.15780258,0
0.052709937,1
0.04341674,0
0.36400223,1
0.2183528,1
0.9850123,1
0.6680254,1
0.57434785,1
0.23539889,1
0.4728235,1
0.34385204,0
0.031991243,0
0.61187124,1
0.6337197,1
0.3560388,0
0.90174246,0
0.5841663,1
0.034082055,1
0.71424913,1
0.2745707,1
0.37804615,1
0.113019586,1
0.3142308,1
0.2199055,1
0.3006251,1
0.68111825,1
0.31687117,1
0.9080125,1
0.48316264,0
0.43290305,1
0.33411682,1
0.68693817,1
0.62038183,1
0.4484688,1
0.31956804,1
0.3592887,1
0.8447192,1
0.4035232,1
0.286703,1
0.82113695,1
0.23790908,0
0.8885813,1
0.7363589,1
0.38466763,0
0.4707011,1
0.9714967,1
0.031614065,0
0.7921059,1
0.15308273,1
0.8612976,1
0.7800914,1
0.69618297,0
0.22301972,0
0.44428098,1
0.72885656,1
0.78849125,1
0.44254208,1
0.9387708,1
0.5731747,1
0.109315634,1
0.18012261,1
0.1799506,0
0.56524265,1
0.2590871,0
0.837785,1
0.26228905,0
0.044624567,0
0.83434284,1
0.7254864,1
0.29057539,1
0.77273273,1
0.020459652,1
0.25782144,1
0.5662643,1
0.5441675,1
0.7101364,1
0.12279868,1
0.4137838,1
0.65680027,0
0.4526534,0
0.6539186,1
0.84068775,1
0.28953552,1
0.21655881,1
0.27662826,1
0.10448289,0
0.46131825,1
0.46700525,1
0.8980038,1
0.525872,1
0.9294872,1
0.9098828,1
0.011068344,0
0.9826882,1
0.8147901,1
0.1360085,1
0.7679759,1
0.36842525,1
0.9373585,1
0.22701442,1
0.23470914,1
0.8132309,1
0.1676259,1
0.18591022,0
0.51372695,1
0.6548655,1
0.3159846,1
0.027756214,0
0.04676068,0
0.06712508,0
0.896227,1
0.47433114,1
0.28711808,1
0.03317511,0
0.5799053,1
0.8543689,1
0.9491806,1
0.0142787695,0
0.5567559,1
0.26534808,1
0.36802685,1
0.79711914,0
0.22126019,1
0.2563498,1
0.028275132,0
0.7527945,1
0.38268256,0
0.5472826,1
0.7370261,1
0.8761027,1
0.37035227,1
0.9611045,1
0.37943256,1
0.14288187,0
0.41947174,1
0.9716648,1
0.034591436,0
0.265633,0
0.51859415,1
0.7847055,1
0.04204619,1
0.71777165,1
0.94399893,1
0.1229254,1
0.32207298,1
0.91269076,1
0.52962005,1
0.15322042,0
0.5982034,1
0.11556494,1
0.5852847,0
0.40255105,1
0.53367484,0
0.5096526,1
0.2004056,1
0.70255613,1
0.7310029,1
0.5165566,1
0.6059365,1
0.47171974,1
0.38092053,1
0.7459649,0
0.48065388,1
0.109434724,0
0.9662752,1
0.84883344,1
0.4006878,1
0.1682961,1
0.3863653,1
0.2387979,1
0.9952189,1
0.7684957,0
0.68396986,1
0.32111597,1
0.35605037,1
0.0043469667,0
0.7914221,1
0.99329567,1
0.68596685,1
0.4938799,1
0.3300066,0
0.24931753,0
0.665985,1
0.4452864,1
0.69203675,1
0.4616363,1
0.43364644,1
0.9369414,1
0.13125277,1
0.9759978,1
0.85133326,1
0.2867465,0
0.6370847,1
0.38351142,0
0.7197268,1
0.7022376,1
0.31016648,1
0.5823134,1
0.5757704,1
0.19256806,1
0.2768196,1
0.175565,0
0.3230331,1
0.7151525,1
0.7686688,1
